Particle species 	 Momentum Direction: x 	 y 	 z 	 Energy Deposited (keV): East Scint 	 East MWPC 	 West Scint 	 West MWPC 
e-	 	0.57735		0.57735		-0.57735		229.296	 	21.4954	 	0	 	0
gamma	 	0		1		0		0	 	0	 	0	 	0
e-	 	0.57735		0.57735		-0.57735		355.534	 	1.6076	 	0	 	0
e-	 	0.57735		0.57735		-0.57735		357.6	 	1.45298	 	0	 	0
gamma	 	0		1		0		0	 	0	 	0	 	0
e-	 	0.57735		0.57735		-0.57735		378.969	 	1.64835	 	0	 	0
e-	 	0.57735		0.57735		-0.57735		356.063	 	1.36608	 	0	 	0
e-	 	0.57735		0.57735		-0.57735		326.856	 	1.9832	 	0	 	0
gamma	 	0		1		0		0	 	0	 	0	 	0
gamma	 	0		1		0		0	 	0	 	0	 	0
gamma	 	0		1		0		0	 	0	 	0	 	0
gamma	 	0		1		0		0	 	0	 	0	 	0
gamma	 	0		1		0		0	 	0	 	0	 	0
Total number of simulated events during this run: 100
